token,sentiment_score,frequency,log_frequency
bastard,-5,7.76e-06,-11.76651533725424
twat,-5,1.95e-06,-13.147629904652216
son-of-a-bitch,-5,4.4e-05,-10.031318651321323
slut,-5,5.75e-06,-12.066293312001894
nigger,-5,2.24e-06,-13.008990050236646
niggas,-5,1.35e-06,-13.51533189418321
motherfucking,-5,1.74e-06,-13.261567975124878
motherfucker,-5,4.07e-06,-12.411842988787038
prick,-5,3.98e-06,-12.43420361335543
cocksuckers,-5,1.17e-07,-15.96023756634274
cocksucker,-5,2.75e-07,-15.106131169015882
cock,-5,1.7e-05,-10.982291331572418
bitches,-5,6.92e-06,-11.881080337572056
bitch,-5,5.75e-05,-9.763723871032047
bastards,-5,4.27e-06,-12.363873311794219
cunt,-5,7.41e-06,-11.812666623470685
rape,-4,3.02e-05,-10.407665322330654
pissed,-4,1.78e-05,-10.936306482704488
piss,-4,1.48e-05,-11.120876620460274
jackasses,-4,2.24e-07,-15.31117345613953
fuking,-4,8.32e-08,-16.300817287773615
hell,-4,0.000126,-8.979227857362318
fuked,-4,1.66e-08,-17.9078571175237
raped,-4,1.2e-05,-11.330595574877663
jackass,-4,2.14e-06,-13.054658001050315
rapist,-4,4.17e-06,-12.38757054162575
whore,-4,7.24e-06,-11.83587553950734
shit,-4,0.000302,-8.105083209463631
shrew,-4,5.62e-07,-14.391586066938382
torture,-4,1.41e-05,-11.169328668406719
tortured,-4,6.03e-06,-12.018746963614761
tortures,-4,6.92e-07,-14.183535383098594
torturing,-4,1.7e-06,-13.284823485102727
fucktard,-4,1.32e-07,-15.839706625418131
wtf,-4,1.66e-05,-11.006101838523536
wtff,-4,1.2e-08,-18.230060384343716
wtfff,-4,1.48e-08,-18.021904623995
scumbag,-4,2.09e-06,-13.078298646242228
fucking,-4,0.000214,-8.449534075652812
shithead,-4,7.08e-07,-14.160680510288683
fuckhead,-4,1.95e-07,-15.449753589317346
fuckin,-4,2.14e-05,-10.75211496305019
arsehole,-4,6.31e-07,-14.275801508356217
assfucking,-4,1.62e-08,-17.932100729133694
asshole,-4,2.19e-05,-10.7290193549422
bullshit,-4,2.95e-05,-10.431116904793736
catastrophic,-4,3.8e-06,-12.480483175788715
damned,-4,7.41e-06,-11.812666623470685
damnit,-4,1.17e-06,-13.6584213427215
dick,-4,5.01e-05,-9.901487553867463
dickhead,-4,1.78e-06,-13.238841015463024
ass,-4,0.0001,-9.210339371976684
frauds,-4,1.07e-06,-13.747758455913456
fraudster,-4,3.09e-07,-14.989600987808341
fraudsters,-4,4.57e-07,-14.598363651608713
fraudulence,-4,3.55e-08,-17.150920199088425
fraudulent,-4,4.07e-06,-12.411842988787038
fuck,-4,0.000245,-8.314251939256366
fucked,-4,3.89e-05,-10.15451373664909
fucker,-4,4.68e-06,-12.272191080741633
fuckface,-4,2.04e-07,-15.404655767130611
fuckers,-4,2.75e-06,-12.80387328331057
fraud,-4,2.34e-05,-10.662770262105477
bribe,-3,3.16e-06,-12.664906885296544
criminated,-3,0.0,-23.025850929940457
rant,-3,4.68e-06,-12.272191080741633
fud,-3,1.48e-07,-15.725378115672658
colluding,-3,6.17e-07,-14.29823475161939
furious,-3,9.55e-06,-11.55895893232227
vomits,-3,3.09e-07,-14.989600987808341
obnoxious,-3,2.4e-06,-12.94000015481174
hated,-3,1.58e-05,-11.055494288837458
blackmailed,-3,7.41e-07,-14.115130267989098
tyran,-3,3.16e-08,-17.266949156063177
sucks,-3,2.4e-05,-10.637452560958343
betraying,-3,1.35e-06,-13.51533189418321
defrauds,-3,2.88e-08,-17.359424241828023
pseudoscience,-3,3.63e-07,-14.82858755852612
dire,-3,4.57e-06,-12.29597547145949
dumbass,-3,3.72e-06,-12.501760008320096
green washing,-3,1.23e-05,-11.30590316553765
scandal,-3,1.48e-05,-11.120876620460274
betrayal,-3,4.79e-06,-12.248959269932646
assassination,-3,6.61e-06,-11.926911775622074
ranter,-3,4.07e-08,-17.014583755536297
greenwashing,-3,4.9e-08,-16.829406802145936
