token,sentiment_score,is_positive,is_negative,is_neutral_afinn,frequency,log_frequency
kudos,3,True,False,False,2.82e-06,-12.77873821265007
droopy,-2,False,True,False,3.16e-07,-14.96720721772484
horrendous,-3,False,True,False,2.69e-06,-12.8259321903203
helpful,2,True,False,False,2.69e-05,-10.523380553891272
reach,1,True,False,False,8.71e-05,-9.34845252600085
soothed,3,True,False,False,2.82e-07,-15.08100421893846
misleads,-3,False,True,False,1.45e-07,-15.745842677056268
cruel,-3,False,True,False,1.32e-05,-11.235286152643068
encouraging,2,True,False,False,1.38e-05,-11.190834719450558
fuckface,-4,False,True,False,2.04e-07,-15.404655767130611
terrorize,-3,False,True,False,6.17e-07,-14.29823475161939
vitriolic,-3,False,True,False,3.72e-07,-14.804103201593835
granting,1,True,False,False,4.79e-06,-12.248959269932646
whore,-4,False,True,False,7.24e-06,-11.83587553950734
wooo,4,True,False,False,3.47e-07,-14.87365291407867
focused,2,True,False,False,4.47e-05,-10.015534819210789
sweeter,3,True,False,False,2.09e-06,-13.078298646242228
perjury,-3,False,True,False,2.04e-06,-13.102511731701728
seamless,2,True,False,False,2.04e-06,-13.102511731701728
fucking perfect,4,True,False,False,9.1e-05,-9.30464995254693
assfucking,-4,False,True,False,1.62e-08,-17.932100729133694
isolated,-1,False,True,False,1.74e-05,-10.95903460463387
shared,1,True,False,False,4.79e-05,-9.946392965866911
motherfucking,-5,False,True,False,1.74e-06,-13.261567975124878
laugh,1,True,False,False,4.57e-05,-9.993410071882701
twat,-5,False,True,False,1.95e-06,-13.147629904652216
glee,3,True,False,False,3.09e-06,-12.687307105118727
hides,-1,False,True,False,4.9e-06,-12.226254944892672
relishing,2,True,False,False,3.16e-07,-14.96720721772484
bastard,-5,False,True,False,7.76e-06,-11.76651533725424
euphoric,4,True,False,False,7.08e-07,-14.160680510288683
humiliated,-3,False,True,False,2.57e-06,-12.871565749308303
catastrophic,-4,False,True,False,3.8e-06,-12.480483175788715
shame,-2,False,True,False,3.55e-05,-10.245975044585462
stabbed,-2,False,True,False,7.94e-06,-11.7435846883261
rotfl,4,True,False,False,2.09e-08,-17.678743399222988
hell,-4,False,True,False,0.000126,-8.979227857362318
suicidal,-2,False,True,False,4.07e-06,-12.411842988787038
bliss,3,True,False,False,6.03e-06,-12.018746963614761
adores,3,True,False,False,8.32e-07,-13.999313211040027
fraudulent,-4,False,True,False,4.07e-06,-12.411842988787038
asshole,-4,False,True,False,2.19e-05,-10.7290193549422
